Addresses,B113.2,IPMC-301.3,IPMC-302.4,IPMC-304.7,IPMC-308.1,PM-301.3,Zombie
160 AUBURN,0,0,1,0,1,0,0
160 SMITH,0,0,0,1,0,0,0
161 AUSTIN,0,0,1,0,1,0,0
161 BICKFORD,0,0,0,1,0,0,0
163 CROWLEY,0,0,0,1,0,0,0
165 GROTE,0,0,1,0,1,0,0
165 STEVENSON,0,0,1,1,1,0,0
170 COURTLAND,0,0,0,1,0,0,0
173 HIGHGATE,0,0,0,0,0,1,0
178 ROOSEVELT,0,0,0,1,0,0,0
18 FAIRFIELD,0,0,0,1,0,0,0
18 MATEJKO,0,0,1,1,1,0,0
18 WILLINK,0,0,0,1,0,0,0
180 HAZELWOOD,0,0,1,0,1,0,0
188 LOVERING,0,0,0,1,0,0,0
189 MORRIS EAST,0,0,0,1,0,0,0
190 BIRD,0,0,0,1,1,0,0
191 BRINTON,0,0,1,1,0,0,0
191 GROTE,0,0,0,1,0,0,0
199 HASTINGS,0,0,1,0,0,0,0
200 VILLA,0,0,0,1,1,0,0
2025 GENESEE,0,0,0,1,0,0,0
211 HERTEL,0,0,0,1,0,0,0
211 SARANAC,0,0,0,0,1,0,0
220 IDEAL,0,0,1,0,0,0,0
220 TERRACE,0,0,0,1,0,0,0
228 CABLE,0,0,0,1,1,0,0
230 BENZINGER,0,0,1,0,0,0,0
232 DELAVAN EAST,0,0,0,1,0,0,0
232 GEARY,0,0,1,0,1,0,0
236 HEWITT,0,0,0,1,1,0,0
236 MILLICENT,0,0,0,1,0,0,0
239 POTOMAC,0,0,0,1,0,0,0
24 MERRIMAC,0,0,1,0,1,0,0
24 PROCTOR,0,0,0,0,1,1,0
244 OXFORD,0,0,0,1,1,0,0
246 SWAN,0,0,1,1,0,0,0
248 PURDY,0,0,1,1,1,0,0
250 FILLMORE,0,0,0,0,0,1,0
26 KENEFICK,0,0,1,0,1,0,0
264 COMMONWEALTH,0,0,0,0,1,0,0
27 ATHOL,0,0,1,1,1,0,0
27 ROSEDALE,0,0,0,0,1,0,0
28 EVADENE,0,0,0,0,1,0,0
2801 BAILEY,0,0,1,0,1,0,0
287 DAVIDSON,0,0,1,0,1,0,0
289 COMMONWEALTH,0,0,0,1,0,0,0
31 OBERLIN,0,0,0,0,1,0,0
31 PROGRESSIVE,0,0,0,1,0,0,0
310 MINNESOTA,0,0,1,0,1,0,0
319 COMMONWEALTH,0,0,1,1,0,0,0
339 MYSTIC,0,0,0,0,1,0,0
342 MINNESOTA,0,0,0,0,1,0,0
35 CONCORD,0,0,0,1,0,0,0
35 LAIRD,0,0,0,0,1,0,0
36 KNOERL,0,0,1,1,1,0,0
37 ALSACE,0,0,0,0,1,0,0
37 ROUNDS,0,0,1,1,1,0,0
381 NORTHUMBERLAND,0,0,0,1,0,0,0
39 PHYLLIS,0,0,0,1,1,0,0
395 FARGO,0,0,0,1,1,0,0
399 GOLD,0,0,0,1,0,0,0
40 BRANTFORD,0,0,0,0,1,0,0
40 DEWEY,0,0,0,0,0,1,0
401 OGDEN NORTH,0,0,0,0,0,1,0
405 SUMMER,0,0,1,0,0,0,0
408 ST LAWRENCE,0,0,0,0,1,0,0
41 MAYER,0,0,0,1,1,0,0
415 LISBON,0,0,0,0,1,0,0
417 BAILEY,0,0,1,1,1,1,0
42 FENNIMORE,0,0,0,1,0,0,0
421 WOODSIDE,0,0,0,1,1,0,0
43 ASHTON,0,0,1,1,1,0,0
433 EAST,0,0,0,1,0,0,0
436 STOCKBRIDGE,0,0,1,1,0,0,0
44 FISHER,0,0,1,0,0,0,0
44 RUSPIN,0,0,1,0,0,0,0
440 DODGE,0,0,1,0,0,0,0
444 LISBON,0,0,1,1,0,0,0
445 AMHERST EAST,0,0,0,0,1,0,0
45 SHOREHAM,0,0,0,1,0,0,0
46 RIDGEWOOD,0,0,1,0,0,0,0
466 EAST,0,0,1,0,0,0,0
48 ATLANTIC,0,0,1,1,0,0,0
494 WILSON,0,0,1,0,1,0,0
503 HIGHGATE,0,0,0,1,0,0,0
504 BIRD,0,0,1,1,1,0,0
52 HAWLEY,0,0,0,1,1,0,0
532 NORWOOD,0,0,0,1,0,0,0
54 SANDROCK,0,0,0,1,1,0,0
549 SHIRLEY,0,0,1,0,1,0,0
55 LADNER,0,0,1,0,0,0,0
550 SUFFOLK,0,0,0,1,1,0,0
553 WILLIAM,0,0,0,1,1,0,0
557 DOAT,0,0,0,1,0,0,0
56 PRINCETON,0,0,1,1,1,0,0
563 HIGHGATE,0,0,1,0,1,0,0
57 HUMPHREY,0,0,0,1,0,0,0
57 WEISS,0,0,1,1,1,0,0
575 WALDEN,0,0,0,1,0,0,0
59 CENTRAL,0,0,0,1,0,0,0
590 WEST,0,0,0,1,0,0,0
6 BEVERLY,0,0,0,1,0,0,0
600 ST LAWRENCE,0,0,1,0,1,0,0
609 HIGHGATE,0,0,0,1,1,0,0
61 ARDEN,0,0,0,1,0,0,0
615 GOODYEAR,0,0,0,0,1,0,0
62 TROWBRIDGE,0,0,0,1,0,0,0
63 ASHLEY,0,0,1,0,1,1,0
64 DREXEL,0,0,0,1,0,0,0
64 POPLAR,0,0,0,1,0,0,0
